Date,Not indexed,Indexed,Impressions
2026-07-05,,,0
2026-07-06,,,0
2026-07-07,,,0
2026-07-08,,,1
2026-07-09,,,28
2026-07-10,86,88,178
2026-07-11,151,25,50
2026-07-12,151,25,53
2026-07-13,151,25,33
2026-07-14,151,25,25
2026-07-15,151,25,4
2026-07-16,151,25,3
2026-07-17,151,25,4
2026-07-18,151,25,0
2026-07-19,151,25,0
2026-07-20,151,25,1
2026-07-21,151,25,1
2026-07-22,151,25,0
2026-07-23,151,25,0
2026-07-24,151,25,0
